domain_id	Function_pfam	Clan_pfam	Gene_pfam
PF05525	Branched-chain amino acid transport protein	CL0062	Branch_AA_trans
PF02541	Ppx/GppA phosphatase family	CL0108	Ppx-GppA
PF21447	Ppx/GppA phosphatase, domain III 	CL0237	Ppx-GppA_III
PF17941	Polyphosphate kinase C-terminal domain 1	CL0479	PP_kinase_C_1
PF13090	Polyphosphate kinase C-terminal domain 2	CL0479	PP_kinase_C
PF02503	Polyphosphate kinase middle domain	CL0764	PP_kinase
PF13089	Polyphosphate kinase N-terminal domain		PP_kinase_N
PF00005	ABC transporter	CL0023	ABC_tran
PF02687	FtsX-like permease family	CL0404	FtsX
PF02687	FtsX-like permease family	CL0404	FtsX
PF02687	FtsX-like permease family	CL0404	FtsX
PF01207	Dihydrouridine synthase (Dus)	CL0036	Dus
PF01497	Periplasmic binding protein	CL0043	Peripla_BP_2
